Actual test,Predicted_value
43,123.5735619
119,127.8840345
35,121.2586784
56,104.4957293
45,111.3605561
126,111.5202033
18,107.7684956
8,115.990323
105,107.2097306
115,110.0035555
12,107.0500835
127,107.9281427
12,128.9217409
119,129.2809469
41,103.5378465
213,114.0745574
209,114.0745574
366,110.9614383
47,119.303001
100,111.5202033
133,117.1477647
781,130.2787415
131,109.7640848
6,116.549088
61,103.0189934
3216,112.8372921
270,110.9614383
113,113.0767628
58,109.8039966
19,116.3495291
28,110.8017911
123,113.6754396
96,112.677645
121,112.4381743
1,113.2763217
11,107.4891131
14,106.7307892
55,131.7554775
12,110.0035555
59,118.5845889
147,120.5402663
9,123.0147969
164,109.6044376
43,117.4271472
3,105.8926418
119,110.3228497
12,133.5515078
128,113.3960571
31,113.8749985
15,116.0302348
169,107.4492013
1,110.1632026
225,104.0966115
305,103.1387287
171,109.7640848
48,107.6088485
45,107.2097306
131,109.7640848
47,132.5537132
176,119.7021189
21,107.4492013
75,128.2033288
20,113.1964982
129,122.4959437
67,115.3118227
73,123.2941794
25,130.6778594
771,132.4738896
9,112.5978214
49,112.9171157
82,113.7951749
28,118.3052065
37,114.0745574
302,99.9856978
15,125.2498568
381,108.5667313
103,118.5845889
9,109.6044376
51,108.7263784
8,115.431558
95,118.8240596
33,112.9969392
1,113.0767628
2,114.6333224
11,108.0079663
2,124.1323269
2,107.4092895
44,106.9702599
77,108.4869077
105,122.0968259
200,117.8661768
33,118.7841479
9,107.4092895
5,109.3649669
33,128.4028877
179,114.5934106
5,108.4070841
15,115.5512934
168,108.9658491
24,125.7287982
58,132.952831
27,133.9506256
455,88.45119236
7,116.2697055
195,127.4849167
1,115.631117
30,101.5422574
62,114.7929695
1,109.165408
855,128.6423584
706,135.7466559
211,114.8328813
44,111.1609972
137,119.6222953
180,108.0478781
166,115.1521756
57,133.9905374
214,114.7530577
8,115.5912052
18,111.6000268
181,107.5290249
324,103.817229
77,130.4383887
95,113.3162335
78,120.1810603
11,108.6066431
5,109.6443494
43,115.1521756
117,107.329466
61,112.1587918
111,113.7552631
199,115.6710287
81,111.1609972
54,105.0544943
68,108.4869077
160,104.8150236
6,127.9239463
6,106.9702599
10,114.8727931
4,113.6754396
1,105.7729064
10,113.4758806
8,115.5113816
223,115.3118227
175,133.2322135
161,107.8084074
714,135.4672734
45,108.1676134
3,130.1190944
